Date,Time,VSpd(m/s),Alt(m),A2(V),RSSI(dB),RxBt(V),Cels(V),Rud,Ele,Thr,Ail,S1,6P,S2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2019-10-11,15:27:53.960,0.0,-0.3,7.4,96,4.1,0.00,2,2,-1024,-2,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:54.460,-0.1,-0.4,7.3,96,4.1,0.00,1,1,-1024,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:54.960,0.0,-0.3,7.3,96,4.1,0.00,2,1,61,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:55.470,0.0,-0.3,7.2,99,4.1,0.00,3,1,1024,-2,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.2
2019-10-11,15:27:55.980,0.0,-0.3,7.3,96,4.1,0.00,2,2,1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.2
2019-10-11,15:27:56.480,0.0,-0.2,7.3,97,4.1,0.00,1,1,889,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:56.980,0.0,-0.3,7.3,96,4.1,0.00,1,1,-494,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:57.490,0.0,-0.3,7.3,96,4.1,0.00,1,2,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:57.990,0.0,-0.4,7.6,97,4.1,0.00,1,1,-1024,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:27:58.490,0.0,-0.3,7.6,97,4.1,0.00,3,1,1001,-2,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.2
2019-10-11,15:27:59.000,0.0,-0.3,7.4,96,4.1,0.00,2,1,1024,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000000083000,8.2
2019-10-11,15:27:59.500,0.0,-0.4,7.4,97,4.1,0.00,1,1,-356,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:00.000,0.0,-0.4,7.3,96,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:00.500,0.0,-0.3,7.2,97,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:01.000,0.1,-0.3,7.3,97,4.1,0.00,1,1,-929,-1,-532,204,-920,1,1024,-1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:01.500,0.0,-0.3,7.7,98,4.1,0.00,1,1,-929,-2,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:02.000,0.0,-0.3,7.7,97,4.1,0.00,1,2,-929,-1,-532,204,-920,1,1024,1,-1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:02.500,0.1,-0.2,7.8,98,4.1,0.00,1,1,-929,-1,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:03.000,0.0,-0.3,7.6,98,4.1,0.00,1,1,-929,-1,-532,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.2
2019-10-11,15:28:03.500,0.0,-0.2,7.8,98,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:04.000,0.0,-0.3,7.8,97,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:04.500,0.0,-0.3,7.9,97,4.1,0.00,1,1,-929,-2,-533,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:05.000,0.0,-0.3,7.8,97,4.1,0.00,1,1,-929,-1,-533,204,-920,0,1024,1,1,1,1,0,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:05.500,0.0,-0.3,7.7,98,4.1,0.00,1,1,-929,-1,-532,204,-920,1,1024,1,1,1,1,1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:06.000,0.0,-0.3,7.8,97,4.1,0.00,1,1,-929,-1,-532,204,-920,1,1024,1,1,1,1,1,-1,0,-1,0x0000000004083000,8.1
2019-10-11,15:28:06.500,0.0,-0.3,7.8,98,4.1,0.00,1,1,-929,-2,-532,204,-920,1,1024,1,1,1,1,-1,-1,0,-1,0x0000000004083000,8.1
